prompt,model_of_original_prompt,order,iteration,prompt_length,step1_story_prompt_with_prefix,full_prompt_length
A superhero's greatest weakness is their crippling fear of public speaking.,Gemini,17,9,75,Please write me a story in exactly 5 sentences: A superhero's greatest weakness is their crippling fear of public speaking.,123
A writer's stories become reality.,Gemini,46,18,34,Please write me a story in exactly 5 sentences: A writer's stories become reality.,82
A government agency investigates strange occurrences in a small town.,Gemini,47,19,69,Please write me a story in exactly 5 sentences: A government agency investigates strange occurrences in a small town.,117
A lonely robot befriends a stray cat in a post-apocalyptic wasteland.,Gemini,11,19,69,Please write me a story in exactly 5 sentences: A lonely robot befriends a stray cat in a post-apocalyptic wasteland.,117
"A haunted house is actually a portal to different historical periods, but only on Tuesdays.",Gemini,26,5,91,"Please write me a story in exactly 5 sentences: A haunted house is actually a portal to different historical periods, but only on Tuesdays.",139
A professional napper accidentally solves a complex mystery while asleep.,Gemini,22,9,73,Please write me a story in exactly 5 sentences: A professional napper accidentally solves a complex mystery while asleep.,121
A gardener discovers a plant that can heal any disease.,Gemini,27,16,55,Please write me a story in exactly 5 sentences: A gardener discovers a plant that can heal any disease.,103
A talking cat becomes the unlikely confidante of a struggling writer.,Gemini,7,14,69,Please write me a story in exactly 5 sentences: A talking cat becomes the unlikely confidante of a struggling writer.,117
A journalist investigates a series of strange events in a haunted hotel.,Gemini,43,4,72,Please write me a story in exactly 5 sentences: A journalist investigates a series of strange events in a haunted hotel.,120
A ghost tries to haunt a house but the new owner is a professional ghost hunter.,Gemini,13,4,80,Please write me a story in exactly 5 sentences: A ghost tries to haunt a house but the new owner is a professional ghost hunter.,128
A group of scientists discovers a new planet inhabited by intelligent plants.,Gemini,36,12,77,Please write me a story in exactly 5 sentences: A group of scientists discovers a new planet inhabited by intelligent plants.,125
A lonely lighthouse keeper discovers a message in a bottle from a future civilization.,Gemini,3,14,86,Please write me a story in exactly 5 sentences: A lonely lighthouse keeper discovers a message in a bottle from a future civilization.,134
A tree starts writing poetry in its leaves.,Gemini,23,8,43,Please write me a story in exactly 5 sentences: A tree starts writing poetry in its leaves.,91
"A time traveler tries to prevent a catastrophe, but accidentally causes it.",Gemini,29,7,75,"Please write me a story in exactly 5 sentences: A time traveler tries to prevent a catastrophe, but accidentally causes it.",123
A person finds a hidden map that leads to a legendary treasure.,Gemini,41,14,63,Please write me a story in exactly 5 sentences: A person finds a hidden map that leads to a legendary treasure.,111
A sentient cloud decides to move to the desert.,Gemini,29,5,47,Please write me a story in exactly 5 sentences: A sentient cloud decides to move to the desert.,95
A scientist creates a potion that can grant wishes.,Gemini,38,11,51,Please write me a story in exactly 5 sentences: A scientist creates a potion that can grant wishes.,99
A lonely lighthouse keeper finds companionship in a mysterious visitor.,Gemini,33,15,71,Please write me a story in exactly 5 sentences: A lonely lighthouse keeper finds companionship in a mysterious visitor.,119
A detective investigates a crime where the suspect is a famous magician.,Gemini,43,6,72,Please write me a story in exactly 5 sentences: A detective investigates a crime where the suspect is a famous magician.,120
A superhero loses their powers at the worst possible moment.,Gemini,11,17,60,Please write me a story in exactly 5 sentences: A superhero loses their powers at the worst possible moment.,108
A child befriends a monster under their bed.,Gemini,33,7,44,Please write me a story in exactly 5 sentences: A child befriends a monster under their bed.,92
A detective investigates a murder where the only clue is a single rubber ducky.,Gemini,2,4,79,Please write me a story in exactly 5 sentences: A detective investigates a murder where the only clue is a single rubber ducky.,127
A lonely astronaut on a distant planet receives a cryptic message from Earth.,Gemini,5,15,77,Please write me a story in exactly 5 sentences: A lonely astronaut on a distant planet receives a cryptic message from Earth.,125
A sentient toaster falls in love with a spatula.,Gemini,1,19,48,Please write me a story in exactly 5 sentences: A sentient toaster falls in love with a spatula.,96
A lonely lighthouse keeper befriends a mermaid.,Gemini,14,11,47,Please write me a story in exactly 5 sentences: A lonely lighthouse keeper befriends a mermaid.,95
A baker's bread has unexpected side effects.,Gemini,19,18,44,Please write me a story in exactly 5 sentences: A baker's bread has unexpected side effects.,92
A group of children discovers a secret society of adults who are secretly still playing childhood games.,Gemini,33,14,104,Please write me a story in exactly 5 sentences: A group of children discovers a secret society of adults who are secretly still playing childhood games.,152
A world where music is outlawed.,Gemini,42,6,32,Please write me a story in exactly 5 sentences: A world where music is outlawed.,80
A pilot crash-lands in a remote jungle.,Gemini,50,1,39,Please write me a story in exactly 5 sentences: A pilot crash-lands in a remote jungle.,87
"Two rival pizza delivery drivers accidentally swap orders, leading to chaos and romance.",Gemini,12,9,88,"Please write me a story in exactly 5 sentences: Two rival pizza delivery drivers accidentally swap orders, leading to chaos and romance.",136
A writer's characters come to life and demand changes to the story.,Gemini,18,1,67,Please write me a story in exactly 5 sentences: A writer's characters come to life and demand changes to the story.,115
A detective must solve a murder mystery on a spaceship where everyone is a suspect.,Gemini,42,5,83,Please write me a story in exactly 5 sentences: A detective must solve a murder mystery on a spaceship where everyone is a suspect.,131
A time traveler accidentally creates a paradox by stepping on a butterfly.,Gemini,8,1,74,Please write me a story in exactly 5 sentences: A time traveler accidentally creates a paradox by stepping on a butterfly.,122
A group of friends gets lost in a maze.,Gemini,44,11,39,Please write me a story in exactly 5 sentences: A group of friends gets lost in a maze.,87
A detective investigates a series of disappearances where the victims vanish into thin air.,Gemini,5,11,91,Please write me a story in exactly 5 sentences: A detective investigates a series of disappearances where the victims vanish into thin air.,139
A group of squirrels forms a secret society to control the city's power grid.,Gemini,3,8,77,Please write me a story in exactly 5 sentences: A group of squirrels forms a secret society to control the city's power grid.,125
